page	line4Filename	top_on_page	bottom_on_page	left_on_page	right_on_page	AT	GT01	GT02	enriched_y_n	color_img_file_name
1	1	635	1084	407	4976	 יש  			0	bge-cl0146_001.jpg
1	2	635	1084	407	4987	ב			0	bge-cl0146_001.jpg
1	3	788	1237	407	4976	פ			0	bge-cl0146_001.jpg
1	4	1015	1464	407	4982				0	bge-cl0146_001.jpg
1	5	1152	1601	407	4976	שמעו קולו כיון ששמעו קולו מיד מתו כולם שנ' שי	שמעו קולו כיון ששמעו קולו מיד מתו כולם שנ' נפשי		1	bge-cl0146_001.jpg
1	6	1416	1865	407	4983	יצאה בדברו ור כולם מתים מיד בקשה התורה עליהט	יצאה בדברו ור כולם מתים מיד בקשה התורה עליהם		1	bge-cl0146_001.jpg
1	7	1690	2139	407	4976	רחמים והח נפשותיהן שנ' תורת יוי תמימה משי	רחמים והחזת נפשותיהן שנ' תורת יוי תמימה משיבת		1	bge-cl0146_001.jpg
1	8	1936	2385	407	4976	 התחילוה ﭏשה אם יופי אנחנו לשמוע' קרב 	נפש התחילו משה אם יוספי' אנחנו לשמוע וג' קרב		1	bge-cl0146_001.jpg
1	9	2223	2672	407	4976	אתה ושמע' לכ כיון שמד המשכן לא קרא ﭏא למשה	אתה ושמע˙ לכך כיון שעמד המשכן לא קרא ﭏא למשה		1	bge-cl0146_001.jpg
1	10	2502	2951	407	4976	נוא יכול  ותאמ שהיה מדבי מו בקלמוך	שהוא יכול ותאמר שהיה מדבר עימו בקול נמוך		1	bge-cl0146_001.jpg
1	11	2777	3226	407	4983	בשבי כך ה'  עומד ﭏא היה ה'ב'ה' מדבר עמו בקול	בשביל כך הה עומד ﭏא היה ה'ב'ה' מדבר עמו בקול		1	bge-cl0146_001.jpg
1	12	3017	3466	407	4976	גבוה על כלל ואמירה ויווי כקול שנא' המתןתורה	גבוה על כל ואמירה וציווי כקול שנא' במתן תורה		1	bge-cl0146_001.jpg
