page	line4Filename	top_on_page	bottom_on_page	left_on_page	right_on_page	AT	GT01	GT02	enriched_y_n	color_img_file_name
1	1	1152	1601	407	4976	שמעו קולו כיון ששמעו קולו מיד מתו כולם שנ' שי	שמעו קולו כיון ששמעו קולו מיד מתו כולם שנ' נפשי		1	bge-cl0146_001.jpg
1	2	1416	1865	407	4983	יצאה בדברו ור כולם מתים מיד בקשה התורה עליהט	יצאה בדברו ור כולם מתים מיד בקשה התורה עליהם		1	bge-cl0146_001.jpg
1	3	1690	2139	407	4976	רחמים והח נפשותיהן שנ' תורת יוי תמימה משי	רחמים והחז ת נפשותיהן שנ' תורת יוי תמימה משיבת		1	bge-cl0146_001.jpg
1	4	1936	2385	407	4976	 התחילוה ﭏשה אם יופי אנחנו לשמוע' קרב 	נפש התחילו משה אם יוספי' אנחנו לשמוע וג' קרב		1	bge-cl0146_001.jpg
1	5	2223	2672	407	4976	אתה ושמע' לכ כיון שמד המשכן לא קרא ﭏא למשה	אתה ושמע˙ לכך כיון שעמד המשכן לא קרא ﭏא למשה		1	bge-cl0146_001.jpg
1	6	2502	2951	407	4976	נוא יכול  ותאמ שהיה מדבי מו בקלמוך	שהוא יכול ותאמר שהיה מדבר עימו בקול נמוך		1	bge-cl0146_001.jpg
1	7	2777	3226	407	4983	בשבי כך ה'  עומד ﭏא היה ה'ב'ה' מדבר עמו בקול	בשביל כך ה ה עומד ﭏא היה ה'ב'ה' מדבר עמו בקול		1	bge-cl0146_001.jpg
1	8	3017	3466	407	4976	גבוה על כלל ואמירה ויווי כקול שנא' המתןתורה	גבוה על כל ואמירה וציווי כקול שנא' במתן תורה		1	bge-cl0146_001.jpg
1	9	3327	3776	407	4983	זול יוי בח קוליוי בהדר מנין שנ' ובבא משה ﭏאהל לדב	קול יוי בכח קול יוי בהדר מנין שנ' ובבא משה ﭏ אהל לדבר		1	bge-cl0146_001.jpg
1	10	3609	4058	407	4983	אתו וישמע א  הקול מדבר' ﭏיו וג' וישמע את קול ממדר	אתו וישמע את הקול מדבר ﭏיו וג' וישמע את קול מדבר		1	bge-cl0146_001.jpg
1	11	3891	4340	407	4976	ﭏיו אינו אומך ﭏאוישמע את הקול שהיה ידו במ	ﭏיו אינו אומר ך ﭏא וישמע את הקול שהיה ידוע במתן		1	bge-cl0146_001.jpg
1	12	4119	4568	407	4984	בתן תורה קולי וי שובר ארים שהיה מדב עלל	במתן תורה קול יוי שובר ארזים שהיה מדבר על כל 		1	bge-cl0146_001.jpg
1	13	4443	4892	407	4976	דיבור ודיבור ועל כל אמירהבצווי שמא המ ﭏהיו	דיבור ודיבור ועל כל אמירה בצווי שמא תאמר ישרﭏ היו		1	bge-cl0146_001.jpg
1	14	4681	5130	407	4976	שומשן את הקול מבחוץ תל וישמע הוא שומע בלבד וי	שומעין את הקול מבחוץ תל וישמע הוא שומע בלבד וכי"		1	bge-cl0146_001.jpg
1	15	4964	5413	407	4983	אר שקול גבוה היה מדבר למה לא הי שועי' לפי ש	מאחר שקול גבוה היה מדבר למה לא היו שומעי' לפי שגזר		1	bge-cl0146_001.jpg
1	16	5248	5697	407	4983	ה'ב'ה' על הדבו שיצא והולך אצל משה ועש לוה'ב'ה' שי	ה'ב'ה' על הדיבו שיצא והולך אצל משה ועוש לו ה'ב'ה' שביל		1	bge-cl0146_001.jpg
1	17	5500	5949	407	4983	ו'צאקלד שיגייע למשה ולא ממשמעלכוהלן  	שבו יצא הקול ד שיגיע למשה ולא נשמע לכאן ולכאן שנ' לעש 		0	bge-cl0146_001.jpg
